name,algorithm,is_depends,coin_url,github_link,miners,market_cap,volume,circulating_supply,emission
GlobalBoost-Y,GPU - Yescrypt,true,https://miningpoolstats.stream/globalboost,https://github.com/GlobalBoost/GlobalBoost-Y,487,1.06M ,176.34 ,20.17M / 21M (96.1%),?
Aion,GPU - Equihash,false,https://miningpoolstats.stream/aion,https://github.com/aionnetwork/aion,40,975.62K ,562.12 ,527.22M / 487.5M (108.1%),37658 AION ( 69.68  )
MazaCoin,ASIC - SHA256,true,https://miningpoolstats.stream/mazacoin-sha,https://github.com/MazaCoin/maza,15,956.65K ,269.24 ,2.22B / 2.42B (91.9%),216562 MAZA ( 93.22  )
MazaCoin,CPU - Various Algo,true,https://miningpoolstats.stream/mazacoin-minotaurx,https://github.com/MazaCoin/maza,125,956.65K ,269.24 ,2.22B / 2.42B (91.9%),216187 MAZA ( 93.06  )
DeepOnion,GPU - X21S | X17 | X15 | X14 | X13,true,https://miningpoolstats.stream/deeponion,https://github.com/deeponion/deeponion,129,944.22K ,142.58 ,22.97M / 25M (91.9%),15177 ONION ( 623.77  )
Metaverse,ASIC - Ethash,false,https://miningpoolstats.stream/metaverse,https://github.com/mvs-org/metaverse,10,824.19K ,26.09K ,84.35M / 100M (84.4%),?
Subi Network,CPU - GhostRider,true,https://miningpoolstats.stream/subinetwork,https://github.com/subinetwork/subi,2925,819.64K ,86.48K ,96.82M,3535000 SUBI ( 29.93K  )
Hawaii Coin,ASIC - Groestl | Qubit | Skein | Quark,false,https://miningpoolstats.stream/hawaiicoin,https://github.com/MeetingInHawaii/HWI-Source,6,805.12K ,27.32 ,9.84M / 5M (196.8%),21363 HWI ( 1.75K  )
Ryo Currency,GPU - CryptoNight Variants,false,https://miningpoolstats.stream/ryo,https://github.com/ryo-currency/ryo-currency,114,788.97K ,645.38 ,49.26M / 88.19M (55.9%),11725 RYO ( 187.78  )
WoodCoin,GPU - Various Algo,false,https://miningpoolstats.stream/woodcoin,https://github.com/funkshelper/woodcoin,30,770.51K ,53.62 ,9.88M / 27.6M (35.8%),?
Hacash,CPU - Various Algo,false,https://miningpoolstats.stream/hacash,https://github.com/hacash,0,837.18K ,42.46K ,528.44K,2198 HAC ( 3.45K  )
Coinye,ASIC - Scrypt,true,https://miningpoolstats.stream/coinye,https://github.com/bityecoin/coinyecoin,0,746.34K ,0 ,133.33B / 133.33B (100.0%),?
Decred-Next,ASIC - Blake256 | Blake2B,false,https://miningpoolstats.stream/decrednext,https://github.com/Decred-Next/binary-release,0,735.86K ,10K ,7.12M,2152 DCRN ( 222.54  )
Gemlink,GPU - Equihash,true,https://miningpoolstats.stream/gemlink,https://github.com/gemlink/gemlink,760,,,79.89M / 160M (49.9%),43290 GLINK ( 379.14  )
ExchangeCoin,GPU - Equihash,false,https://miningpoolstats.stream/exchangecoin,https://github.com/EXCCoin/exilibrium,9,683.08K ,239.65K ,29.48M / 32M (92.1%),2338 EXCC ( 54.25  )
Auroracoin,ASIC - SHA256,true,https://miningpoolstats.stream/auroracoin-sha,https://github.com/aurarad/auroracoin,781,669.88K ,517.46 ,15.3M / 21M (72.9%),894.4 AUR ( 39.16  )
Auroracoin,ASIC - Scrypt,true,https://miningpoolstats.stream/auroracoin-scrypt,https://github.com/aurarad/auroracoin,272,669.88K ,517.46 ,15.3M / 21M (72.9%),894.4 AUR ( 39.16  )
Auroracoin,ASIC - Groestl | Qubit | Skein | Quark,true,https://miningpoolstats.stream/auroracoin-groestl,https://github.com/aurarad/auroracoin,12,669.88K ,517.46 ,15.3M / 21M (72.9%),894.4 AUR ( 39.16  )
Auroracoin,ASIC - Groestl | Qubit | Skein | Quark,true,https://miningpoolstats.stream/auroracoin-qubit,https://github.com/aurarad/auroracoin,27,669.88K ,517.46 ,15.3M / 21M (72.9%),894.4 AUR ( 39.16  )
Auroracoin,ASIC - Groestl | Qubit | Skein | Quark,true,https://miningpoolstats.stream/auroracoin-skein,https://github.com/aurarad/auroracoin,5,669.88K ,517.46 ,15.3M / 21M (72.9%),894.4 AUR ( 39.16  )
Smileycoin,ASIC - SHA256,true,https://miningpoolstats.stream/smileycoin-sha,https://github.com/smileycoin/smileyCoin,0,662.28K ,51.57 ,15.81B / 48B (32.9%),?
Smileycoin,ASIC - Scrypt,true,https://miningpoolstats.stream/smileycoin-scrypt,https://github.com/smileycoin/smileyCoin,0,662.28K ,51.57 ,15.81B / 48B (32.9%),?
Smileycoin,ASIC - Groestl | Qubit | Skein | Quark,true,https://miningpoolstats.stream/smileycoin-groestl,https://github.com/smileycoin/smileyCoin,0,662.28K ,51.57 ,15.81B / 48B (32.9%),?
Smileycoin,ASIC - Groestl | Qubit | Skein | Quark,true,https://miningpoolstats.stream/smileycoin-qubit,https://github.com/smileycoin/smileyCoin,0,662.28K ,51.57 ,15.81B / 48B (32.9%),?
Smileycoin,ASIC - Groestl | Qubit | Skein | Quark,true,https://miningpoolstats.stream/smileycoin-skein,https://github.com/smileycoin/smileyCoin,0,662.28K ,51.57 ,15.81B / 48B (32.9%),?
Fsociety,CPU - GhostRider,true,https://miningpoolstats.stream/fsociety,https://github.com/fsocietychain/fsociety,234,623.47K ,34.06K ,724.58M / 21B (3.5%),3555000 FSC ( 3.06K  )
Veil,ASIC - SHA256,true,https://miningpoolstats.stream/veil-sha,https://github.com/Veil-Project/veil,0,734.6K ,39.16 ,154.63M / 154.63M (100.0%),14090 VEIL ( 66.96  )
Veil,GPU - ProgPoW | Cuckoo,true,https://miningpoolstats.stream/veil-progpow,https://github.com/Veil-Project/veil,0,734.6K ,39.16 ,154.63M / 154.63M (100.0%),14090 VEIL ( 66.96  )
Veil,CPU - RandomX Variants,true,https://miningpoolstats.stream/veil-randomx,https://github.com/Veil-Project/veil,6,734.6K ,39.16 ,154.63M / 154.63M (100.0%),14090 VEIL ( 66.96  )
MecuAI,CPU - GhostRider,true,https://miningpoolstats.stream/mecuai,https://github.com/mecuai/mecuai,2554,643.85K ,38.03K ,3.71M,52248 MECU ( 8.99K  )
Deutsche eMark,ASIC - SHA256,false,https://miningpoolstats.stream/deutscheemark,https://github.com/emarkproject/eMark,773,621.61K ,149.37 ,156.57M / 210M (74.6%),18059 DEM ( 71.7  )
Bitcore,GPU - Various Algo,true,https://miningpoolstats.stream/bitcore,https://github.com/LIMXTEC/BitCore,87,612.67K ,8.6 ,19.41M / 21M (92.4%),814.1 BTX ( 25.69  )
Phoenixcoin,GPU - NeoScrypt,false,https://miningpoolstats.stream/phoenixcoin,https://github.com/ghostlander/Phoenixcoin,45,608.86K ,8.99 ,89.72M / 98M (91.5%),6438 PXC ( 43.72  )
UFOCoin,GPU - NeoScrypt,true,https://miningpoolstats.stream/ufocoin,https://github.com/UFOCoins/ufo,0,595.95K ,0.19 ,3.95B / 4B (98.8%),31086 UFO ( 4.69  )
Stohn Coin,ASIC - Scrypt,true,https://miningpoolstats.stream/stohncoin,https://github.com/StohnIO/Stohncoin,1329,576.67K ,139.72K ,15.66M / 15.66M (100.0%),26300 SOH ( 968.38  )
GamePass,GPU - KawPow,true,https://miningpoolstats.stream/gamepass,https://github.com/GamepassNetwork/Gamepass,907,561.39K ,12.61K ,595.87M,2685667 GPN ( 2.53K  )
Vanillacash,GPU - PHI2 | C11 | HMQ1725,false,https://miningpoolstats.stream/vanillacash,https://github.com/WikiMin3R/Vanillacash,0,559.88K ,1.04 ,13.25M / 30.7M (43.1%),?
SmartCash,GPU - Blake2S | Blake2B | Keccak,true,https://miningpoolstats.stream/smartcash,https://github.com/SmartCash/Core-Smart,2,701.25K ,53.93 ,2.95B / 5B (59.1%),?
YadaCoin,CPU - RandomX Variants,false,https://miningpoolstats.stream/yadacoin,https://github.com/pdxwebdev/yadacoin,81,558.88K ,3.69K ,16.31M / 21M (77.7%),1888 YDA ( 64.69  )
FuerteCoin,CPU - GhostRider,true,https://miningpoolstats.stream/fuertecoin,https://github.com/GitFuec/fuertecoin,2549,456.61K ,86.2K ,266.02M,2505000 FUEC ( 4.23K  )
StakeCubeCoin,GPU - Various Algo,true,https://miningpoolstats.stream/stakecubecoin,https://github.com/stakecube/StakeCubeCoin,28,513.06K ,3.68K ,13.64M / 18M (75.8%),4518 SCC ( 169.97  )
Reaction,CPU - GhostRider,true,https://miningpoolstats.stream/reaction,https://github.com/ReactionChain/ReactionCore,3372,508.22K ,36.25K ,295.8M / 295.75M (100.0%),3540000 RTC ( 6.08K  )
Riecoin,CPU - Various Algo,true,https://miningpoolstats.stream/riecoin,https://github.com/riecointeam/riecoin,13,493.86K ,90.43 ,65.5M / 84M (78.0%),7425 RIC ( 55.99  )
Sumokoin,GPU - CryptoNight Variants,false,https://miningpoolstats.stream/sumokoin,https://github.com/sumoprojects/sumokoin,771,461.66K ,2.66K ,27.57M / 88.89M (31.0%),?
Viacoin,MERGED Mining,true,https://miningpoolstats.stream/viacoin,https://github.com/viacoin/viacoin,3020,450.43K ,429.36 ,23.17M,?
MotaCoin,GPU - X21S | X17 | X15 | X14 | X13,true,https://miningpoolstats.stream/motacoin,http://github.com/Jahvinci/Motacoin,0,446.17K ,128.02 ,70.72M / 100M (70.7%),310.2 MOTA ( 1.96  )
Tidecoin,CPU - YesPoWer,true,https://miningpoolstats.stream/tidecoin,https://github.com/tidecoin/tidecoin,140,449.71K ,175.55 ,17.04M / 21M (81.2%),3170 TDC ( 83.54  )
Dogmcoin,ASIC - Scrypt,true,https://miningpoolstats.stream/dogmcoin,https://github.com/dogmcoin/dogmcoin,26,424.42K ,36.22 ,141.47B,13590000 DOGM ( 40.77  )
Mass,HDD - Proof of Capacity,false,https://miningpoolstats.stream/mass,,352,,,,
Hush,ASIC - Equihash,false,https://miningpoolstats.stream/hush,https://git.hush.is/hush/hush3,75,395.75K ,22.93 ,13.83M / 21M (65.8%),?
Euno,X11,false,,,,,,,
Equilibria,ASIC - X11,true,https://miningpoolstats.stream/euno,https://github.com/Euno/eunowallet,0,393.24K ,74.29 ,7.04B / 8B (88.1%),461824 EUNO ( 25.78  )
BitNet,ASIC - SHA256,true,https://miningpoolstats.stream/bitnet,https://github.com/bitnet-io/bitnet-core,858,688.52K ,572.76 ,872.78M,?
Sugarchain,CPU - YesPoWer,true,https://miningpoolstats.stream/sugarchain,https://github.com/sugarchain-project/sugarchain,159,360.36K ,2.1K ,734.95M / 1.07B (68.4%),?
Osinpay,CPU - GhostRider,true,https://miningpoolstats.stream/osinpay,https://github.com/deosin/osin,2617,368.96K ,26.84K ,57.4M,1668000 OSN ( 10.72K  )
CoinTAFT,CPU - GhostRider,true,https://miningpoolstats.stream/cointaft,https://github.com/TaftProject/cointaft,2423,322.56K ,54.69K ,877.43M,3540000 TAFT ( 1.3K  )
Maxeter,CPU - GhostRider,true,https://miningpoolstats.stream/maxeter,https://github.com/maxeteristy/maxeter,2802,314.27K ,18.25K ,34.29M,829800 MAXE ( 7.6K  )
VeriBlock,GPU - ProgPoW | Cuckoo,false,https://miningpoolstats.stream/veriblock,https://github.com/VeriBlock/nodecore-releases,0,468.35K ,194.02 ,815.16M / 1.24B (65.6%),8704 VBK ( 3.28  )
PluraCoin,ASIC - CryptoNight,false,https://miningpoolstats.stream/pluracoin,https://github.com/pluracoin/PluraCoin,2,297.96K ,9.76K ,946M / 1B (94.6%),73698 PLURA ( 23.21  )
Etica,ASIC - Ethash,false,https://miningpoolstats.stream/etica,https://github.com/etica/core-geth,237,295.15K ,27.35K ,2.99M,13712 EGAZ ( 1.35K  )
BiblePay,CPU - RandomX Variants,true,https://miningpoolstats.stream/biblepay,https://github.com/biblepay/biblepay-evolution,0,279.4K ,50.09 ,3.5B / 5.1B (68.6%),750657 BBP ( 60.01  )
Chives,HDD - Proof of Capacity,false,https://miningpoolstats.stream/chives,https://github.com/HiveProject2021/chives-blockchain,103,278.96K ,246.92 ,806.16M / 4.79B (16.8%),919200 XCC ( 318.16  )
GainProX,CPU - GhostRider,true,https://miningpoolstats.stream/gainprox,https://github.com/gprotocolx/gainprox,272,270.48K ,12.64K ,398.84M,3610000 GPRX ( 2.45K  )
Paprikacoin,GPU - KawPow,true,https://miningpoolstats.stream/paprikacoin,https://github.com/paprika-network/paprikacoin,794,219.5K ,25.11K ,24.42M,86820 PAPRY ( 787.28  )
Fennec,CPU - Yescrypt,false,https://miningpoolstats.stream/fennec,https://github.com/FennecBlockchain/Fennec,111,266.33K ,3.63K ,7.58M,3413 FNNC ( 119.92  )
RussellCoin,GPU - X21S | X17 | X15 | X14 | X13,true,https://miningpoolstats.stream/russellcoin,https://github.com/russellcoinpay/russellcoin,11,256.62K ,8.52K ,6.35M / 21M (30.2%),?
Avian,GPU - X16R | X16Rv2 | X16RT | X16S,true,https://miningpoolstats.stream/avian-x16rt,https://github.com/AvianNetwork/Avian,359,256.55K ,85.43K ,3.24B / 21B (15.4%),?
Avian,CPU - Various Algo,true,https://miningpoolstats.stream/avian-minotaurx,https://github.com/AvianNetwork/Avian,4122,256.55K ,85.43K ,3.24B / 21B (15.4%),?
TerraCoin,MERGED Mining,true,https://miningpoolstats.stream/terracoin,https://github.com/terracoin/terracoin,30120,255.32K ,2.74 ,33.27M / 42M (79.2%),2975 TRC ( 33.14  )
Titan Coin,GPU - X21S | X17 | X15 | X14 | X13,true,https://miningpoolstats.stream/titancoin,https://github.com/titancoinproject/Titan,0,252.19K ,0 ,953.37M / 5B (19.1%),?
Ravencoin Classic,GPU - X16R | X16Rv2 | X16RT | X16S,true,https://miningpoolstats.stream/ravencoinclassic,https://github.com/ravencoinclassicio/RavencoinClassic,8,251.65K ,152.53K ,12.91B / 21B (61.5%),?
TheMinerzCoin,ASIC - Scrypt,true,https://miningpoolstats.stream/theminerzcoin,https://github.com/MrMiner-org/TheMinerzCoin,119,248.04K ,25.18K ,540.65K,4890 TMC ( 2.26K  )
DigitalNote,GPU - Allium | Tribus | bmw512,false,https://miningpoolstats.stream/digitalnote,https://github.com/DigitalNoteXDN/DigitalNote-2,60,246.44K ,2.23K ,8.16B / 7B (116.6%),134903 XDN ( 4.08  )
Sinovate,GPU - KawPow,true,https://miningpoolstats.stream/sinovate,https://github.com/SINOVATEblockchain/sinovate,0,246.97K ,49.97 ,1.3B,?
Aurum Crypto Gold,ASIC - SHA256,true,https://miningpoolstats.stream/aurumcrypto,https://github.com/SariKuHu/Aurum,807,218.36K ,24.95K ,7.88M,6200 ACG ( 165.7  )
PupaCoin,GPU - Allium | Tribus | bmw512,false,https://miningpoolstats.stream/pupacoin,https://github.com/PupaCoin/PupaCoin-Core,3,237.06K ,287.06 ,15.23M / 21M (72.5%),?
Feathercoin,GPU - NeoScrypt,true,https://miningpoolstats.stream/feathercoin,https://github.com/FeatherCoin/Feathercoin,30,245.55K ,3.98K ,262.01M / 336M (78.0%),?
Rebelcoin,ASIC - SHA256,false,https://miningpoolstats.stream/rebelcoin,,854,,,,
ArtByte,ASIC - Scrypt,false,https://miningpoolstats.stream/artbyte,https://github.com/WikiMin3R/ArtBytE,1,232.31K ,72.8 ,472.02M / 1B (47.2%),?
Iridium,GPU - CryptoNight Turtle,false,https://miningpoolstats.stream/iridium,https://github.com/iridiumdev/iridium,43,272.96K ,1.13K ,24.13M / 25M (96.5%),?
Emerald Crypto,ASIC - Scrypt,false,https://miningpoolstats.stream/emerald,https://github.com/crypto-currency/Emerald,0,224.96K ,0.65 ,20.05M / 32M (62.7%),90.6 EMD ( 1.02  )
VIVO,GPU - NeoScrypt,true,https://miningpoolstats.stream/vivo,https://github.com/vivocoin/vivo,44,212.88K ,366.83 ,12.8M / 27.2M (47.1%),3974 VIVO ( 66.1  )
BitcoinPurple,ASIC - SHA256,false,https://miningpoolstats.stream/bitcoinpurple,https://github.com/BitcoinPurple/BTCP,3,198.16K ,15.8K ,76.94K,?
ArQmA,CPU - RandomX Variants,false,https://miningpoolstats.stream/arqma,https://github.com/arqma/arqma,95,187.7K ,0.85 ,24.57M / 50M (49.1%),8610 ARQ ( 65.77  )
UltraNote Infinity,GPU - CryptoNight Variants,false,https://miningpoolstats.stream/ultranoteinfinity,https://github.com/xun-project/ultranotei-core,17,182K ,5.97K ,5.33M / 21M (25.4%),?
Optical Bitcoin,GPU - Various Algo,true,https://miningpoolstats.stream/opticalbitcoin,https://github.com/PoWx-Org/obtc-core,288,177.26K ,604.47 ,6.36M / 42M (15.1%),?
Ubiq,GPU - Various Algo,false,https://miningpoolstats.stream/ubiq,https://github.com/ubiq/go-ubiq,61,173.77K ,226.07 ,51.16M,6017 UBQ ( 20.44  )
ReversedBitcoin,ASIC - SHA256,false,https://miningpoolstats.stream/reversedbitcoin,https://github.com/ReversedBitcoin/ReversedBitcoin,28,173.72K ,21.3K ,7.43K,36.13 RVB ( 844.77  )
Etho Protocol,ASIC - Ethash,false,https://miningpoolstats.stream/etho,https://github.com/Ether1Project/Ether1,2,169.94K ,36.97K ,84.4M,?
Redecoin,ASIC - Ethash,false,https://miningpoolstats.stream/redecoin,https://github.com/redecoinproject/redecoin,51,152.97K ,2.01K ,2.64M / ∞,3470 REDEV2 ( 200.92  )
Squishy Coin,ASIC - Equihash,true,https://miningpoolstats.stream/squishycoin,https://github.com/sqcndev/SquishyCoinQT,25,160.96K ,1.66K ,4.06M / 23.13M (17.6%),5225 SQCN ( 208.59  )
Skytere,CPU - GhostRider,true,https://miningpoolstats.stream/skytere,https://github.com/skytcode/skytere,138,160.87K ,4.66K ,320.68M,3585000 SKYT ( 1.8K  )
Evolution,GPU - ProgPoW | Cuckoo,false,https://miningpoolstats.stream/evolution,https://github.com/evolution-project/evolution,24,160.23K ,2.23K ,2.28M,1428 EVOX ( 100.24  )
Novacoin,ASIC - Scrypt,false,https://miningpoolstats.stream/novacoin,https://github.com/novacoin-project/novacoin,318,157.15K ,82.82 ,4.43M,1397 NVC ( 49.54  )
SexCoin,MERGED Mining,true,https://miningpoolstats.stream/sexcoin,https://github.com/sexcoin-project/sexcoin,0,150.06K ,0 ,132.48M / 250M (53.0%),321.1 SXC ( 0.36  )
Lamby Crypto,ASIC - Scrypt,true,https://miningpoolstats.stream/lamby,https://github.com/LambyDev/Lamby,335,151.34K ,46.78K ,442.73M,?
Bitoreum,CPU - GhostRider,true,https://miningpoolstats.stream/bitoreum,https://github.com/bitoreum/bitoreum,2583,146.51K ,904.48 ,2.12B / 21B (10.1%),3570000 BTRM ( 246.33  )
VarseChain,CPU - GhostRider,true,https://miningpoolstats.stream/varsechain,https://github.com/gitvarse/varsechain,2019,141.67K ,6.85K ,316.39M,3505000 VARSE ( 1.57K  )
MateableCoin,ASIC - Scrypt,true,https://miningpoolstats.stream/mateablecoin-scrypt,https://github.com/mateable/mateablecoin-24.x,36,141.54K ,1.39K ,181.79M,58583 MTBC ( 45.61  )
MateableCoin,GPU - Various Algo,true,https://miningpoolstats.stream/mateablecoin-balloon,https://github.com/mateable/mateablecoin-24.x,3,141.54K ,1.39K ,181.79M,58583 MTBC ( 45.61  )
MateableCoin,GPU - Various Algo,true,https://miningpoolstats.stream/mateablecoin-whirlpool,https://github.com/mateable/mateablecoin-24.x,10,141.54K ,1.39K ,181.79M,58583 MTBC ( 45.61  )
MateableCoin,CPU - Yescrypt,true,https://miningpoolstats.stream/mateablecoin-yescryptr8,https://github.com/mateable/mateablecoin-24.x,5,141.54K ,1.39K ,181.79M,58583 MTBC ( 45.61  )
MateableCoin,CPU - GhostRider,true,https://miningpoolstats.stream/mateablecoin-ghostrider,https://github.com/mateable/mateablecoin-24.x,594,141.54K ,1.39K ,181.79M,58583 MTBC ( 45.61  )
Gold Cash,CPU - Yescrypt,true,https://miningpoolstats.stream/goldcash,https://github.com/iUNeIV/GoldCash,51,141.24K ,1.42K ,130.95K / 200K (65.5%),?
Kryptokrona,GPU - CryptoNight Turtle,false,https://miningpoolstats.stream/kryptokrona,https://github.com/kryptokrona/kryptokrona,51,137.04K ,8.68K ,428.94M / 1B (42.9%),?
Ritocoin,GPU - X21S | X17 | X15 | X14 | X13,true,https://miningpoolstats.stream/ritocoin,https://github.com/RitoProject/Ritocoin,17,136.94K ,6.81 ,1.82B / 2.03B (89.4%),78861 RITO ( 5.95  )
ZetaCoin,ASIC - Scrypt,false,https://miningpoolstats.stream/zetacoin,https://github.com/WikiMin3R/ZetacoinE,3,100.88K ,1.76K ,59.74M / 160M (37.3%),?
Bolivarcoin,ASIC - X11,false,https://miningpoolstats.stream/bolivarcoin,https://github.com/ElpidioMC/bolivarcoin,109,140.15K ,100.58 ,19.06M / 25M (76.2%),2211 BOLI ( 16.1  )
BitTubeCash,GPU - ProgPoW | Cuckoo,false,https://miningpoolstats.stream/bittubecash,https://github.com/BitTubeCash/bittubecash,7,131.57K ,79.85 ,316.14M / 600M (52.7%),?
Redblock,GPU - SHA | Skunk | TimeTravel,true,https://miningpoolstats.stream/redblock,https://github.com/redblockdev/RedBlock,298,130.79K ,2.46K ,787.54 / 10.52K (7.5%),14.41 REDB ( 2.39K  )
Masari,GPU - CryptoNight Variants,false,https://miningpoolstats.stream/masari,https://github.com/masari-project/masari,47,126.67K ,60.48 ,17.61M / 18.5M (95.2%),1153 MSR ( 8.3  )
Einsteinium,ASIC - Scrypt,true,https://miningpoolstats.stream/einsteinium,https://github.com/emc2foundation/einsteinium,2,127.52K ,3.85K ,223.61M / 245.47M (91.1%),2384 EMC2 ( 1.35  )
DigitalCoin,ASIC - SHA256,true,https://miningpoolstats.stream/digitalcoin-sha,https://github.com/lomtax/digitalcoin,6,126.04K ,82.25 ,41.75M / 48.17M (86.7%),5013 DGC ( 15.13  )
DigitalCoin,ASIC - Scrypt,true,https://miningpoolstats.stream/digitalcoin-scrypt,https://github.com/lomtax/digitalcoin,22,126.04K ,82.25 ,41.75M / 48.17M (86.7%),5013 DGC ( 15.13  )
DigitalCoin,ASIC - X11,true,https://miningpoolstats.stream/digitalcoin-x11,https://github.com/lomtax/digitalcoin,1,126.04K ,82.25 ,41.75M / 48.17M (86.7%),5013 DGC ( 15.13  )
Innova,GPU - Allium | Tribus | bmw512,false,https://miningpoolstats.stream/innova,https://github.com/innova-foundation/innova,7,123.83K ,328.67 ,8.37M / 18M (46.5%),2856 INN ( 42.25  )
Ergon,ASIC - SHA256,true,https://miningpoolstats.stream/ergon,https://github.com/Ergon-moe/Bitcoin-Static,894,139.85K ,8.55K ,46.21,1.585 XRG ( 4.77K  )
Zero,GPU - Equihash,true,https://miningpoolstats.stream/zero,https://github.com/zerocurrencycoin/Zero,9,121.4K ,0 ,13.12M / 17M (77.2%),1982 ZER ( 18.34  )
Babacoin,CPU - GhostRider,true,https://miningpoolstats.stream/babacoin,https://github.com/babacoinbbc/babacoin,2585,128.27K ,16.7K ,1.36B / 21B (6.5%),16724064 BBC ( 1.58K  )
CPUchain,CPU - Various Algo,true,https://miningpoolstats.stream/cpuchain,https://github.com/cpuchain/cpuchain,427,120.2K ,637.05 ,59.38M / 105M (56.6%),?
Myriad,ASIC - Groestl | Qubit | Skein | Quark,true,https://miningpoolstats.stream/myriad-groestl,https://github.com/myriadteam/myriadcoin,2,119.57K ,1.42K ,1.86B / 2B (92.9%),65000 XMY ( 4.18  )
Myriad,GPU - Yescrypt,true,https://miningpoolstats.stream/myriad-yescrypt,https://github.com/myriadteam/myriadcoin,48,119.57K ,1.42K ,1.86B / 2B (92.9%),65000 XMY ( 4.18  )
Myriad,CPU - Argon2d | Argon2i,true,https://miningpoolstats.stream/myriad-argon2d,https://github.com/myriadteam/myriadcoin,0,119.57K ,1.42K ,1.86B / 2B (92.9%),65000 XMY ( 4.18  )
Myriad,MERGED Mining,true,https://miningpoolstats.stream/myriad-scrypt,https://github.com/myriadteam/myriadcoin,2626,119.57K ,1.42K ,1.86B / 2B (92.9%),65000 XMY ( 4.18  )
Myriad,MERGED Mining,true,https://miningpoolstats.stream/myriad-sha,https://github.com/myriadteam/myriadcoin,15456,119.57K ,1.42K ,1.86B / 2B (92.9%),65000 XMY ( 4.18  )
GNTL Coin,CPU - RandomX Variants,false,https://miningpoolstats.stream/gntlcoin,https://github.com/The-GNTL-Project/gntl,45,116.09K ,1.43K ,38.46M,26578 GNTL ( 80.22  )
Ferrite,ASIC - Scrypt,false,https://miningpoolstats.stream/ferrite,https://github.com/koh-gt/ferrite-core,3,112.64K ,6.74K ,15.5M,700 FEC ( 5.09  )
Yenten,CPU - YesPoWer,true,https://miningpoolstats.stream/yenten,https://github.com/yentencoin/yenten,171,104.74K ,688.33 ,59.06M / 80M (73.8%),17482 YTN ( 31  )
QnodeCoin,ASIC - X11,false,https://miningpoolstats.stream/qnodecoin,,2,,,,
GoodMorning,GPU - Various Algo,true,https://miningpoolstats.stream/goodmorning,https://github.com/GoodMorningNetWork/GoodMorningNetWork,41,104.05K ,4.75K ,292.2M / 2.28K (12814000.7%),4062960 GM ( 1.45K  )
